trail ID,method,parameters,metrics,performance
0,knn,_scale = True; algorithm = brute; metric = manhattan; n_neighbors = 13; weights = distance,f1 and cv,0.749 +- 0.464
1,knn,_scale = True; algorithm = ball_tree; leaf_size = 38; metric = euclidean; n_neighbors = 10; weights = distance,f1 and cv,0.704 +- 0.265
2,knn,_scale = True; algorithm = ball_tree; leaf_size = 32; metric = minkowski; n_neighbors = 8; p = 3; weights = uniform,f1 and cv,0.817 +- 0.306
3,knn,_scale = True; algorithm = kd_tree; leaf_size = 4; metric = euclidean; n_neighbors = 5; weights = uniform,f1 and cv,0.791 +- 0.079
4,logreg,C = 0.000187053924899; _scale = True; class_weight = balanced; dual = False; fit_intercept = False; penalty = l2; tol = 0.0034814857662,f1 and cv,0.664 +- 0.442
5,logreg,C = 2335.37517726; _scale = True; class_weight = balanced; fit_intercept = True; penalty = l1; tol = 5208.03307363,f1 and cv,0.000 +- 0.000
6,logreg,C = 160.105625083; _scale = True; class_weight = balanced; dual = True; fit_intercept = True; penalty = l2; tol = 0.0819182525731,f1 and cv,0.745 +- 0.107
7,dt,criterion = entropy; max_depth = 5; max_features = 0.781478174182; min_samples_leaf = 1; min_samples_split = 2,f1 and cv,0.585 +- 0.451
8,knn,_scale = True; algorithm = kd_tree; leaf_size = 49; metric = euclidean; n_neighbors = 18; weights = distance,f1 and cv,0.531 +- 0.717
9,knn,_scale = True; algorithm = kd_tree; leaf_size = 17; metric = manhattan; n_neighbors = 12; weights = distance,f1 and cv,0.686 +- 0.187
10,knn,_scale = True; algorithm = brute; metric = manhattan; n_neighbors = 15; weights = uniform,f1 and cv,0.786 +- 0.297
11,logreg,C = 3647.55069827; _scale = True; class_weight = balanced; dual = False; fit_intercept = True; penalty = l2; tol = 0.448237732321,f1 and cv,0.769 +- 0.217
12,dt,criterion = entropy; max_depth = 10; max_features = 0.913382063114; min_samples_leaf = 2; min_samples_split = 4,f1 and cv,0.649 +- 0.182
