trail ID,method,parameters,metrics,performance
0,mlp,_scale = True; activation = tanh; alpha = 0.00781487257724; batch_size = auto; hidden_layer_sizes[0] = 272; hidden_layer_sizes[1] = 8; learning_rate = constant; learning_rate_init = 0.0689462938739; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.679 +- 0.214
1,mlp,_scale = True; activation = tanh; alpha = 0.00543619316979; batch_size = auto; hidden_layer_sizes[0] = 259; hidden_layer_sizes[1] = 270; learning_rate = constant; learning_rate_init = 0.687239967578; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.695 +- 0.480
2,mlp,_scale = True; activation = tanh; alpha = 0.00720261760942; batch_size = auto; hidden_layer_sizes[0] = 261; hidden_layer_sizes[1] = 264; learning_rate = constant; learning_rate_init = 0.63223458188; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.808 +- 0.364
3,mlp,_scale = True; activation = tanh; alpha = 0.000188613090589; batch_size = auto; hidden_layer_sizes[0] = 124; hidden_layer_sizes[1] = 62; learning_rate = constant; learning_rate_init = 0.47053941583; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.699 +- 0.418
4,mlp,_scale = True; activation = logistic; alpha = 0.0013054020274; batch_size = auto; hidden_layer_sizes[0] = 282; hidden_layer_sizes[1] = 274; hidden_layer_sizes[2] = 31; len(hidden_layer_sizes) = 3; solver = lbfgs,f1 and cv,0.781 +- 0.378
5,mlp,_scale = True; activation = logistic; alpha = 0.00620897960824; batch_size = auto; hidden_layer_sizes[0] = 129; hidden_layer_sizes[1] = 259; hidden_layer_sizes[2] = 81; len(hidden_layer_sizes) = 3; solver = lbfgs,f1 and cv,0.751 +- 0.414
6,mlp,_scale = True; activation = logistic; alpha = 0.00763163758209; batch_size = auto; hidden_layer_sizes[0] = 152; hidden_layer_sizes[1] = 54; hidden_layer_sizes[2] = 88; len(hidden_layer_sizes) = 3; solver = lbfgs,f1 and cv,0.707 +- 0.480
7,knn,_scale = True; algorithm = brute; metric = euclidean; n_neighbors = 1; weights = uniform,f1 and cv,0.616 +- 0.362
8,knn,_scale = True; algorithm = brute; metric = euclidean; n_neighbors = 11; weights = uniform,f1 and cv,0.737 +- 0.128
9,knn,_scale = True; algorithm = brute; metric = euclidean; n_neighbors = 11; weights = uniform,f1 and cv,0.703 +- 0.453
10,mlp,_scale = True; activation = relu; alpha = 0.00646205227618; batch_size = auto; hidden_layer_sizes[0] = 126; learning_rate = constant; learning_rate_init = 0.885586585832; len(hidden_layer_sizes) = 1; solver = sgd,f1 and cv,0.806 +- 0.183
11,mlp,_scale = True; activation = relu; alpha = 0.00131287408101; batch_size = auto; hidden_layer_sizes[0] = 255; learning_rate = constant; learning_rate_init = 0.251704996158; len(hidden_layer_sizes) = 1; solver = sgd,f1 and cv,0.655 +- 0.201
12,mlp,_scale = True; activation = relu; alpha = 0.00325404130072; batch_size = auto; hidden_layer_sizes[0] = 126; learning_rate = constant; learning_rate_init = 0.644087243875; len(hidden_layer_sizes) = 1; solver = sgd,f1 and cv,0.748 +- 0.318
13,svm,C = 6.75579369313e-05; _scale = True; cache_size = 15000; class_weight = balanced; gamma = 1.39351729562; kernel = rbf; max_iter = 50000; probability = True; shrinking = True,f1 and cv,0.646 +- 0.050
14,svm,C = 3043.0257582; _scale = True; cache_size = 15000; class_weight = balanced; gamma = 54298.6093465; kernel = rbf; max_iter = 50000; probability = True; shrinking = True,f1 and cv,0.000 +- 0.000
15,gp,kernel = matern; nu = 2.5,f1 and cv,0.584 +- 0.164
16,mlp,_scale = True; activation = relu; alpha = 0.00159248380823; batch_size = auto; hidden_layer_sizes[0] = 291; learning_rate = invscaling; learning_rate_init = 0.829468493812; len(hidden_layer_sizes) = 1; solver = sgd,f1 and cv,0.785 +- 0.306
17,mlp,_scale = True; activation = relu; alpha = 0.000701749141837; batch_size = auto; hidden_layer_sizes[0] = 26; learning_rate = invscaling; learning_rate_init = 0.322870349042; len(hidden_layer_sizes) = 1; solver = sgd,f1 and cv,0.817 +- 0.287
18,mlp,_scale = True; activation = relu; alpha = 0.00588022555101; batch_size = auto; hidden_layer_sizes[0] = 26; learning_rate = invscaling; learning_rate_init = 0.298954761221; len(hidden_layer_sizes) = 1; solver = sgd,f1 and cv,0.681 +- 0.210
19,knn,_scale = True; algorithm = ball_tree; leaf_size = 12; metric = chebyshev; n_neighbors = 18; weights = uniform,f1 and cv,0.713 +- 0.350
20,knn,_scale = True; algorithm = ball_tree; leaf_size = 49; metric = chebyshev; n_neighbors = 18; weights = uniform,f1 and cv,0.684 +- 0.338
21,mlp,_scale = True; activation = identity; alpha = 0.000748664694229; batch_size = auto; hidden_layer_sizes[0] = 105; hidden_layer_sizes[1] = 195; hidden_layer_sizes[2] = 136; len(hidden_layer_sizes) = 3; solver = lbfgs,f1 and cv,0.647 +- 0.196
22,mlp,_scale = True; activation = identity; alpha = 0.000452395637246; batch_size = auto; hidden_layer_sizes[0] = 68; hidden_layer_sizes[1] = 23; hidden_layer_sizes[2] = 281; len(hidden_layer_sizes) = 3; solver = lbfgs,f1 and cv,0.728 +- 0.174
23,mlp,_scale = True; activation = identity; alpha = 0.00161792293576; batch_size = auto; hidden_layer_sizes[0] = 195; learning_rate = constant; learning_rate_init = 0.365688011884; len(hidden_layer_sizes) = 1; solver = sgd,f1 and cv,0.639 +- 0.167
24,mlp,_scale = True; activation = identity; alpha = 0.00349736877457; batch_size = auto; hidden_layer_sizes[0] = 12; learning_rate = constant; learning_rate_init = 0.770069409043; len(hidden_layer_sizes) = 1; solver = sgd,f1 and cv,0.716 +- 0.285
25,svm,C = 0.0144774687611; _scale = True; cache_size = 15000; class_weight = balanced; coef0 = -897; degree = 5; gamma = 9.63953019022e-05; kernel = poly; max_iter = 50000; probability = True; shrinking = True,f1 and cv,0.654 +- 0.328
26,svm,C = 68361.5583244; _scale = True; cache_size = 15000; class_weight = balanced; coef0 = -681; degree = 2; gamma = 6976.80395927; kernel = poly; max_iter = 50000; probability = True; shrinking = True,f1 and cv,0.699 +- 0.243
27,mlp,_scale = True; activation = logistic; alpha = 0.00521335944684; batch_size = auto; beta_1 = 0.939521502808; beta_2 = 0.879544826331; hidden_layer_sizes[0] = 37; hidden_layer_sizes[1] = 145; learning_rate_init = 0.824208604962; len(hidden_layer_sizes) = 2; solver = adam,f1 and cv,0.646 +- 0.050
28,mlp,_scale = True; activation = logistic; alpha = 0.00227190507883; batch_size = auto; beta_1 = 0.898338191366; beta_2 = 0.910334662878; hidden_layer_sizes[0] = 154; hidden_layer_sizes[1] = 98; learning_rate_init = 0.0333173604139; len(hidden_layer_sizes) = 2; solver = adam,f1 and cv,0.482 +- 0.802
29,rf,criterion = gini; max_depth = 3; max_features = 0.872569897951; min_samples_leaf = 1; n_estimators = 100; n_jobs = -1,f1 and cv,0.698 +- 0.248
30,rf,criterion = gini; max_depth = 3; max_features = 0.412701118037; min_samples_leaf = 3; n_estimators = 100; n_jobs = -1,f1 and cv,0.802 +- 0.247
31,logreg,C = 5.5359579201; _scale = True; class_weight = balanced; fit_intercept = False; penalty = l1; tol = 1.95315997637e-05,f1 and cv,0.700 +- 0.448
32,logreg,C = 0.0392440215315; _scale = True; class_weight = balanced; fit_intercept = False; penalty = l1; tol = 16758.1398184,f1 and cv,0.000 +- 0.000
33,gnb,_scale_minmax = True,f1 and cv,0.746 +- 0.162
34,mlp,_scale = True; activation = relu; alpha = 0.00105918357866; batch_size = auto; hidden_layer_sizes[0] = 137; hidden_layer_sizes[1] = 271; learning_rate = constant; learning_rate_init = 0.603980751833; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.758 +- 0.169
35,mlp,_scale = True; activation = relu; alpha = 0.00893820258848; batch_size = auto; hidden_layer_sizes[0] = 4; hidden_layer_sizes[1] = 285; learning_rate = constant; learning_rate_init = 0.622789740096; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.574 +- 0.396
36,knn,_scale = True; algorithm = ball_tree; leaf_size = 22; metric = minkowski; n_neighbors = 11; p = 1; weights = distance,f1 and cv,0.661 +- 0.558
37,knn,_scale = True; algorithm = ball_tree; leaf_size = 10; metric = minkowski; n_neighbors = 10; p = 1; weights = distance,f1 and cv,0.787 +- 0.198
38,logreg,C = 1672.72436359; _scale = True; class_weight = balanced; dual = True; fit_intercept = False; penalty = l2; tol = 27100.381445,f1 and cv,0.850 +- 0.400
39,logreg,C = 0.00630214753888; _scale = True; class_weight = balanced; dual = True; fit_intercept = False; penalty = l2; tol = 72.2322909218,f1 and cv,0.690 +- 0.399
