,dataset_name,NumberOfInstancesWithMissingValues,ClassProbabilitySTD,NumberOfInstances,LogNumberOfFeatures,RatioNumericalToNominal,NumberOfMissingValues,DatasetRatio,LogDatasetRatio,NumberOfNumericFeatures,NumberOfFeaturesWithMissingValues,LogNumberOfInstances,SymbolsSum,KurtosisMax,ClassProbabilityMin,KurtosisMin,KurtosisSTD,NumberOfFeatures,SkewnessSTD,PercentageOfInstancesWithMissingValues,SkewnessMean,SymbolsMin,ClassProbabilityMean,SkewnessMax,PercentageOfFeaturesWithMissingValues,NumberOfCategoricalFeatures,PercentageOfMissingValues,RatioNominalToNumerical,ClassEntropy,InverseDatasetRatio,SymbolsSTD,ClassProbabilityMax,SymbolsMax,KurtosisMean,SkewnessMin,NumberOfClasses,SymbolsMean
0,2dplanes_1,0.0,0.0010337456635245434,28537.0,2.302585092994046,0.0,0.0,0.00035042225882188035,-7.956371676884557,10,0.0,10.258956769878603,0.0,-1.4908971222541552,0.49896625433647546,-1.9994747139170819,0.14931849461627333,10.0,0.010497885377016626,0.0,-0.005936204634653333,0,0.5,0.011442587567135874,0.0,0,0.0,0.0,0.9999969165831208,2853.7,0,0.5010337456635245,0,-1.5518856197501467,-0.022919120465625893,2.0,0
1,AP_Endometrium_Prostate_1,0.0,0.038461538461538436,91.0,9.299723933110869,0.0,0.0,120.16483516483517,4.788864426594018,10935,0.0,4.51085950651685,0.0,85.93335225584003,0.46153846153846156,-1.7062917036196577,12.65089680531472,10935.0,1.5756217581956777,0.0,1.8644958515293815,0,0.5,9.375164021447208,0.0,0,0.0,0.0,0.9957274520849256,0.008321902149062643,0,0.5384615384615384,0,7.226009248747241,-1.0288514888039386,2.0,0
2,Amazon_employee_access_1,0.0,0.44166884645566307,22938.0,2.1972245773362196,0.0,0.0,0.0003923620193565263,-7.843325625588248,9,0.0,10.040550202924468,0.0,3.4763586382077145,0.058331153544336906,-1.817412408528041,1.934500194072665,9.0,0.6863239984367495,0.0,0.8932258734509249,0,0.5,1.9800630589849089,0.0,0,0.0,0.0,0.3207842883754384,2548.6666666666665,0,0.9416688464556631,0,0.5225269986651679,0.018510898540463474,2.0,0
3,Australian_1,0.0,0.059006211180124196,483.0,2.6390573296152584,0.0,0.0,0.028985507246376812,-3.5409593240373143,14,0.0,6.180016653652572,0.0,178.5981141690388,0.4409937888198758,-1.9892548911735373,46.64624181497319,14.0,3.508895764673048,0.0,1.6789858146057135,0,0.5,12.319774538669648,0.0,0,0.0,0.0,0.9899303926829204,34.5,0,0.5590062111801242,0,19.28647438946926,-2.198043136248542,2.0,0
4,BNG(breast-w)_1,0.0,0.15473943968645665,27556.0,2.1972245773362196,0.0,0.0,0.00032660763536072,-8.026750999376867,9,0.0,10.223975576713087,0.0,12.063564721908211,0.34526056031354335,-0.7299412408726429,3.7832021136567264,9.0,0.7706993150946566,0.0,1.4652810383612593,0,0.5,3.4812107352367434,0.0,0,0.0,0.0,0.9297639613390066,3061.777777777778,0,0.6547394396864566,0,1.5953348078679497,0.6003477981539309,2.0,0
5,BNG(cmc)_1,0.0,0.08301500568193039,38707.0,2.1972245773362196,0.0,0.0,0.0002325160823623634,-8.366551163878071,9,0.0,10.563775741214291,0.0,7.952278680328373,0.22525641356860515,-1.3021416376140769,2.718417507181044,9.0,1.4285253429004698,0.0,-0.1409209992454264,0,0.3333333333333333,3.154723233554471,0.0,0,0.0,0.0,1.538510932160457,4300.777777777777,0,0.4270803730591366,0,0.7406433491701117,-1.9301091638101726,3.0,0
6,"BNG(cmc,nominal,55296)_1",0.0,0.08307181673198961,38707.0,2.1972245773362196,0.0,0.0,0.0002325160823623634,-8.366551163878071,9,0.0,10.563775741214291,0.0,7.593209391762633,0.22636732373989202,-1.3083394411412705,2.905858584319702,9.0,1.5783418938180367,0.0,-0.027931589989352437,0,0.3333333333333333,3.097290653419959,0.0,0,0.0,0.0,1.538642521389121,4300.777777777777,0,0.4288888314775105,0,1.0993172229276695,-1.9301091638101726,3.0,0
7,BNG(tic-tac-toe)_1,0.0,0.15444912178835823,27556.0,2.1972245773362196,0.0,0.0,0.00032660763536072,-8.026750999376867,9,0.0,10.223975576713087,0.0,-0.9882968418117666,0.34555087821164177,-1.4164913041167206,0.13248406425163145,9.0,0.11688831233308468,0.0,-0.3502159319683038,0,0.5,-0.22334828779099034,0.0,0,0.0,0.0,0.9300317241657566,3061.777777777778,0,0.6544491217883582,0,-1.2773428141179128,-0.5717081628785968,2.0,0
8,BNG(vote)_1,0.0,0.11518256130790192,91750.0,2.772588722239781,0.0,0.0,0.00017438692098092643,-8.654234043677036,16,0.0,11.426822765916818,0.0,1.8358712456430268,0.3848174386920981,-1.9981173987138547,0.9035291968804419,16.0,0.5845867541728698,0.0,-0.16186283363412923,0,0.5,0.6552607835529388,0.0,0,0.0,0.0,0.9613734874991069,5734.375,0,0.6151825613079019,0,-1.6320587499335588,-1.9585380378340944,2.0,0
9,CastMetal1_1,0.0,0.3728070175438597,228.0,3.6109179126442243,0.0,0.0,0.16228070175438597,-1.8184277163102163,37,0.0,5.429345628954441,0.0,77.78939900921483,0.12719298245614036,-1.1580207643647122,17.344227663825055,37.0,1.8035875123161964,0.0,3.6359267632296666,0,0.5,8.20224089310795,0.0,0,0.0,0.0,0.549689363520506,6.162162162162162,0,0.8728070175438597,0,21.006138116937475,-0.289029496018001,2.0,0
