method,dataset_id,name,test_judgment_metric,max_test_judgment_metric,PMA
classify_svm,1,2dplanes_1,0.563809835,0.929072232,0.60685253
classify_sgd,1,2dplanes_1,0.840643275,0.929072232,0.904820148
classify_rf,1,2dplanes_1,0.905370417,0.929072232,0.974488727
classify_pa,1,2dplanes_1,0.766917293,0.929072232,0.825465735
classify_mlp,1,2dplanes_1,0.929072232,0.929072232,1
classify_logreg,1,2dplanes_1,0.840702211,0.929072232,0.904883583
classify_knn,1,2dplanes_1,0.916304615,0.929072232,0.98625767
classify_gnb,1,2dplanes_1,0.80968914,0.929072232,0.871502895
classify_et,1,2dplanes_1,0.828806983,0.929072232,0.892080244
classify_dt,1,2dplanes_1,0.890688259,0.929072232,0.958685696
classify_dbn,1,2dplanes_1,0.928372241,0.929072232,0.99924657
classify_svm,2,AP_Endometrium_Prostate_1,0.975609756,1,0.975609756
classify_sgd,2,AP_Endometrium_Prostate_1,1,1,1
classify_rf,2,AP_Endometrium_Prostate_1,0.975609756,1,0.975609756
classify_pa,2,AP_Endometrium_Prostate_1,1,1,1
classify_mnb,2,AP_Endometrium_Prostate_1,0.975609756,1,0.975609756
classify_mlp,2,AP_Endometrium_Prostate_1,1,1,1
classify_logreg,2,AP_Endometrium_Prostate_1,1,1,1
classify_knn,2,AP_Endometrium_Prostate_1,1,1,1
classify_gp,2,AP_Endometrium_Prostate_1,0.7,1,0.7
classify_et,2,AP_Endometrium_Prostate_1,0.95,1,0.95
classify_dt,2,AP_Endometrium_Prostate_1,0.95,1,0.95
classify_dbn,2,AP_Endometrium_Prostate_1,0.975609756,1,0.975609756
classify_bnb,2,AP_Endometrium_Prostate_1,0.975609756,1,0.975609756
classify_svm,3,Amazon_employee_access_1,0.972187238,0.97259623,0.999579484
classify_sgd,3,Amazon_employee_access_1,0.971491343,0.97259623,0.998863982
classify_rf,3,Amazon_employee_access_1,0.971542164,0.97259623,0.998916234
classify_pa,3,Amazon_employee_access_1,0.971491343,0.97259623,0.998863982
classify_mnb,3,Amazon_employee_access_1,0.693028665,0.97259623,0.712555369
classify_mlp,3,Amazon_employee_access_1,0.971596577,0.97259623,0.998972181
classify_logreg,3,Amazon_employee_access_1,0.945589581,0.97259623,0.972232414
classify_knn,3,Amazon_employee_access_1,0.97259623,0.97259623,1
classify_gnb,3,Amazon_employee_access_1,0.971491343,0.97259623,0.998863982
classify_et,3,Amazon_employee_access_1,0.971491343,0.97259623,0.998863982
classify_dt,3,Amazon_employee_access_1,0.972067039,0.97259623,0.999455899
classify_dbn,3,Amazon_employee_access_1,0.971491343,0.97259623,0.998863982
classify_bnb,3,Amazon_employee_access_1,0.738477815,0.97259623,0.759285089
classify_svm,4,Australian_1,0.849462366,0.9035533,0.940135315
classify_sgd,4,Australian_1,0.9035533,0.9035533,1
classify_rf,4,Australian_1,0.886597938,0.9035533,0.981234797
classify_pa,4,Australian_1,0.882978723,0.9035533,0.977229261
classify_mlp,4,Australian_1,0.893617021,0.9035533,0.989003108
classify_logreg,4,Australian_1,0.890052356,0.9035533,0.985057945
classify_knn,4,Australian_1,0.858757062,0.9035533,0.950422142
classify_gp,4,Australian_1,0.890052356,0.9035533,0.985057945
classify_gnb,4,Australian_1,0.770186335,0.9035533,0.852397236
classify_et,4,Australian_1,0.896907217,0.9035533,0.992644504
classify_dt,4,Australian_1,0.814479638,0.9035533,0.901418476
classify_dbn,4,Australian_1,0.884210526,0.9035533,0.978592549
classify_bnb,4,Australian_1,0.877777778,0.9035533,0.971473159
classify_svm,5,BNG(breast-w)_1,0.968472307,0.979254137,0.988989753
classify_sgd,5,BNG(breast-w)_1,0.972739608,0.979254137,0.993347458
classify_rf,5,BNG(breast-w)_1,0.94844358,0.979254137,0.96853671
classify_pa,5,BNG(breast-w)_1,0.970888097,0.979254137,0.991456723
classify_mlp,5,BNG(breast-w)_1,0.979254137,0.979254137,1
classify_logreg,5,BNG(breast-w)_1,0.962543659,0.979254137,0.982935504
classify_knn,5,BNG(breast-w)_1,0.977031366,0.979254137,0.997730139
classify_dt,5,BNG(breast-w)_1,0.967653984,0.979254137,0.988154094
classify_dbn,5,BNG(breast-w)_1,0.975232957,0.979254137,0.99589363
classify_svm,8,BNG(tic-tac-toe)_1,0,0.860345157,0
classify_sgd,8,BNG(tic-tac-toe)_1,0.790845323,0.860345157,0.919218661
classify_rf,8,BNG(tic-tac-toe)_1,0.802790642,0.860345157,0.933102994
classify_pa,8,BNG(tic-tac-toe)_1,0.622167345,0.860345157,0.723160164
classify_mlp,8,BNG(tic-tac-toe)_1,0.860345157,0.860345157,1
